Name,Title,Xaxis,Yaxis,Options
d27-x01-y01,$\frac{\eta}{\pi ^{0}}$ ratio from figure 4 from 20-40% semi-central Cu+Au collisions.  Type A uncertainties are uncorrelated point-to-point.  Type B uncertainties are correlated point-to-point.,$p_T$ (GeV/$c$),$\eta$/$\pi ^{0}$,
d28-x01-y01,$\frac{\eta}{\pi ^{0}}$ ratio from figure 4 from 40-60% semi-central Cu+Au collisions.  Type A uncertainties are uncorrelated point-to-point.  Type B uncertainties are correlated point-to-point.,$p_T$ (GeV/$c$),$\eta$/$\pi ^{0}$,
d29-x01-y01,$\frac{\eta}{\pi ^{0}}$ ratio supplemental to figure 4 from 60-90% peripheral Cu+Au collisions.  Type A uncertainties are uncorrelated point-to-point.  Type B uncertainties are correlated point-to-point.,$p_T$ (GeV/$c$),$\eta$/$\pi ^{0}$,
d30-x01-y01,$\pi ^{0} R_{AB}$ from figure 5a from 0-10% central Cu+Au collisions.  Type A uncertainties are uncorrelated point-to-point.  Type B uncertainties are correlated point-to-point.  Type C uncertainties affect the scale of the data.,$p_T$ (GeV/$c$),$R_{AB}$,
d31-x01-y01,$\pi ^{0} R_{AB}$ from figure 5b from 10-20% central Cu+Au collisions.  Type A uncertainties are uncorrelated point-to-point.  Type B uncertainties are correlated point-to-point.  Type C uncertainties affect the scale of the data.,$p_T$ (GeV/$c$),$R_{AB}$,
d32-x01-y01,$\pi ^{0} R_{AB}$ from figure 5c from 0-20% central Cu+Au collisions.  Type A uncertainties are uncorrelated point-to-point.  Type B uncertainties are correlated point-to-point.  Type C uncertainties affect the scale of the data.,$p_T$ (GeV/$c$),$R_{AB}$,
d33-x01-y01,$\eta R_{AB}$ from figure 5a from 0-20% central Cu+Au collisions.  Type A uncertainties are uncorrelated point-to-point.  Type B uncertainties are correlated point-to-point.  Type C uncertainties affect the scale of the data.,$p_T$ (GeV/$c$),$R_{AB}$,
d34-x01-y01,$\pi ^{0} R_{AB}$ from figure 5d from 20-40% semi-central Cu+Au collisions.  Type A uncertainties are uncorrelated point-to-point.  Type B uncertainties are correlated point-to-point.  Type C uncertainties affect the scale of the data.,$p_T$ (GeV/$c$),$R_{AB}$,
d35-x01-y01,$\eta R_{AB}$ from figure 5b from 20-40% semi-central Cu+Au collisions.  Type A uncertainties are uncorrelated point-to-point.  Type B uncertainties are correlated point-to-point.  Type C uncertainties affect the scale of the data.,$p_T$ (GeV/$c$),$R_{AB}$,
d36-x01-y01,$\pi ^{0} R_{AB}$ from figure 5e from 40-60% semi-peripheral Cu+Au collisions.  Type A uncertainties are uncorrelated point-to-point.  Type B uncertainties are correlated point-to-point.  Type C uncertainties affect the scale of the data.,$p_T$ (GeV/$c$),$R_{AB}$,
d37-x01-y01,$\eta R_{AB}$ from figure 5c from 40-60% semi-peripheral Cu+Au collisions.  Type A uncertainties are uncorrelated point-to-point.  Type B uncertainties are correlated point-to-point.  Type C uncertainties affect the scale of the data.,$p_T$ (GeV/$c$),$R_{AB}$,
d38-x01-y01,$\pi ^{0} R_{AB}$ from figure 5f from minimum bias Cu+Au collisions.  Type A uncertainties are uncorrelated point-to-point.  Type B uncertainties are correlated point-to-point.  Type C uncertainties affect the scale of the data.,$p_T$ (GeV/$c$),$R_{AB}$,
d39-x01-y01,$\eta R_{AB}$ from figure 5f from minimum bias Cu+Au collisions.  Type A uncertainties are uncorrelated point-to-point.  Type B uncertainties are correlated point-to-point.  Type C uncertainties affect the scale of the data.,$p_T$ (GeV/$c$),$R_{AB}$,
d40-x01-y01,$\pi ^{0} R_{AB}$ supplemental to figure 5 from 60-90% peripheral Cu+Au collisions.  Type A uncertainties are uncorrelated point-to-point.  Type B uncertainties are correlated point-to-point.  Type C uncertainties affect the scale of the data.,$p_T$ (GeV/$c$),$R_{AB}$,
d41-x01-y01,$\eta R_{AB}$ supplemental to figure 5 from 60-90% peripheral Cu+Au collisions.  Type A uncertainties are uncorrelated point-to-point.  Type B uncertainties are correlated point-to-point.  Type C uncertainties affect the scale of the data.,$p_T$ (GeV/$c$),$R_{AB}$,
d42-x01-y01,$\pi ^{0} R_{AB}$ supplemental to figure 6a from 20-30% central Au+Au collisions.  Type A uncertainties are uncorrelated point-to-point.  Type B uncertainties are correlated point-to-point.  Type C uncertainties affect the scale of the data.,$p_T$ (GeV/$c$),$R_{AB}$,
d43-x01-y01,$\pi ^{0} R_{AB}$ supplemental to figure 6b from 0-10% central Cu+Cu collisions.  Type A uncertainties are uncorrelated point-to-point.  Type B uncertainties are correlated point-to-point.  Type C uncertainties affect the scale of the data.,$p_T$ (GeV/$c$),$R_{AB}$,
d44-x01-y01,$\pi ^{0} R_{AB}$ supplemental to figure 6b from 40-50% semi-central Au+Au collisions.  Type A uncertainties are uncorrelated point-to-point.  Type B uncertainties are correlated point-to-point.  Type C uncertainties affect the scale of the data.,$p_T$ (GeV/$c$),$R_{AB}$,
d45-x01-y01,$\pi ^{0}$ for $p_T > 5$GeV/$c$ in Cu+Au collisions as a function of centrality from figure 7a.  Type A uncertainties are uncorrelated point-to-point.  Type B uncertainties are correlated point-to-point.  Type C uncertainties affect the scale of the data.,$N_{part}$,$\pi ^{0}$ Integrated $R_{AB}$,
d46-x01-y01,$\pi ^{0}$ for $p_T > 5$GeV/$c$ in Au+Au collisions as a function of centrality from figure 7a.  Type A uncertainties are uncorrelated point-to-point.  Type B uncertainties are correlated point-to-point.  Type C uncertainties affect the scale of the data.,$N_{part}$,$\pi ^{0}$ Integrated $R_{AB}$,
d47-x01-y01,$\pi ^{0}$ for $p_T > 10$GeV/$c$ in Cu+Au collisions as a function of centrality from figure 7b.  Type A uncertainties are uncorrelated point-to-point.  Type B uncertainties are correlated point-to-point.  Type C uncertainties affect the scale of the data.,$N_{part}$,$\pi ^{0}$ Integrated $R_{AB}$,
d48-x01-y01,$\pi ^{0}$ for $p_T > 10$GeV/$c$ in Au+Au collisions as a function of centrality from figure 7b.  Type A uncertainties are uncorrelated point-to-point.  Type B uncertainties are correlated point-to-point.  Type C uncertainties affect the scale of the data.,$N_{part}$,$\pi ^{0}$ Integrated $R_{AB}$,
